session_id,validation_status,validation_notes,harmony_version,harmony_profile,direction,scenario_id,destination,duration_s,start_utc,end_utc,completed,end_reason,n_samples,n_events,quality_gate,temporal_dwell,map_id_check,recovery_fsm,adaptive_guidance,handover_success_reconstructed,handover_latency_s,handover_note,handover_success_summary,handover_success_mismatch,source_transitions_total,switch_count_Gps_to_Pdr,switch_count_Pdr_to_Gps,switch_count_Pdr_to_Vps,switch_count_Vps_to_Pdr,switch_count_Gps_to_Vps,switch_count_Vps_to_Gps,false_handover_count,evaluable_switches,false_handover_rate_percent,oscillation_episode_count,unnecessary_source_switches,source_toggle_count_summary,source_toggle_count_reconstructed,source_toggle_count_mismatch,vps_attempts_total,vps_attempts_success,vps_attempts_timeout,vps_attempts_unresolved,vps_localization_time_s_n,vps_localization_time_s_mean,vps_localization_time_s_median,vps_localization_time_s_sd,vps_localization_time_s_min,vps_localization_time_s_max,vps_localization_time_last_s,vps_localization_outcome_last,pdr_transition_duration_s,gps_reliability_at_acceptance,vps_reliability_at_acceptance,gps_stable_s_at_acceptance,vps_stable_s_at_acceptance,position_jump_m_reconstructed,heading_jump_deg_reconstructed,position_jump_note,position_jump_m_logger_column,position_jump_m_logger_note,gps_accuracy_m_n,gps_accuracy_m_mean,gps_accuracy_m_median,gps_accuracy_m_sd,gps_accuracy_m_min,gps_accuracy_m_max,gps_reliability_mean,gps_reliability_median,gps_age_s_mean,gps_age_s_max,pdr_steps_total,pdr_confidence_mean,pdr_confidence_median,vps_reliability_mean_when_valid,vps_confidence_available_rate_percent,vps_map_id_available_rate_percent,vps_map_match_rate_percent,handover_attempts_total_summary,handover_attempts_evaluable_summary,successful_handovers_summary,false_handovers_summary,hsr_percent_summary,fhr_percent_summary,handover_start_s,handover_end_s
SYNTH_KB01_BT_3686_FWD,VALID,,BT,Quality + Dwell Baseline,GPS_TO_VPS,KB01,B9-104,143.487,2026-09-20T00:00:00.0000000Z,,1.0,destination_reached,142,24,1,1,0,0,0,1.0,3.417,,1.0,False,0,0,0,0,0,0,0,0,0,,0,0,1,0,True,1,1,0,0,1,3.045,3.045,0.0,3.045,3.045,3.045,success,11.537,,0.8429,,,0.0,0.0,reconstructed from campus_x/campus_y at +/-2.0s window,0.0,Logger's own position_jump_m/heading_jump_deg column is treated as UNRELIABLE (observed constant 0 in sample data / internal settle-loop delta) and is NOT used as the primary result; see position_jump_m_reconstructed instead.,110,5.1911,5.1175,0.3856,4.183,6.664,0.7993,0.7983,,,9,0.9071,0.9203,0.8843,21.83,19.72,19.72,1.0,1.0,1.0,0,100.0,0.0,111.65,115.067
SYNTH_KB01_V3_4565_FWD,VALID,,V3,No Dwell Time,GPS_TO_VPS,KB01,B9-104,125.022,2026-09-20T00:00:00.0000000Z,,1.0,destination_reached,124,18,1,0,1,1,0,1.0,3.342,,1.0,False,0,0,0,0,0,0,0,0,0,,0,0,1,0,True,1,1,0,0,1,3.042,3.042,0.0,3.042,3.042,3.042,success,4.356,,0.9009,,,0.0,0.0,reconstructed from campus_x/campus_y at +/-2.0s window,0.0,Logger's own position_jump_m/heading_jump_deg column is treated as UNRELIABLE (observed constant 0 in sample data / internal settle-loop delta) and is NOT used as the primary result; see position_jump_m_reconstructed instead.,113,5.1747,5.138,0.2871,4.276,6.368,0.7957,0.7946,,,2,0.9187,0.9187,0.8969,8.06,5.65,5.65,1.0,1.0,1.0,0,100.0,0.0,114.582,117.924
SYNTH_KB01_V5_8420_FWD,VALID,,V5,Full HARMONY,GPS_TO_VPS,KB01,B9-104,49.563,2026-09-20T00:00:00.0000000Z,,1.0,destination_reached,50,13,1,1,1,1,1,1.0,3.425,,1.0,False,0,0,0,0,0,0,0,0,0,,0,0,1,0,True,1,1,0,0,1,3.009,3.009,0.0,3.009,3.009,3.009,success,9.443,,0.8706,,,0.0,0.0,reconstructed from campus_x/campus_y at +/-2.0s window,0.0,Logger's own position_jump_m/heading_jump_deg column is treated as UNRELIABLE (observed constant 0 in sample data / internal settle-loop delta) and is NOT used as the primary result; see position_jump_m_reconstructed instead.,40,5.2439,5.0475,0.4604,4.412,6.278,0.7949,0.795,,,7,0.9045,0.9219,0.8881,18.0,12.0,12.0,1.0,1.0,1.0,0,100.0,0.0,40.12,43.545
SYNTH_KB01_BQ_4605_FWD,VALID,,BQ,Quality-Threshold Baseline,GPS_TO_VPS,KB01,B9-104,123.695,2026-09-20T00:00:00.0000000Z,,1.0,destination_reached,124,21,1,0,0,0,0,1.0,3.335,,1.0,False,0,0,0,0,0,0,0,0,0,,0,0,1,0,True,1,1,0,0,1,3.009,3.009,0.0,3.009,3.009,3.009,success,17.377,,0.8792,,,0.0,0.0,reconstructed from campus_x/campus_y at +/-2.0s window,0.0,Logger's own position_jump_m/heading_jump_deg column is treated as UNRELIABLE (observed constant 0 in sample data / internal settle-loop delta) and is NOT used as the primary result; see position_jump_m_reconstructed instead.,117,5.218,5.146,0.3858,4.497,6.259,0.8023,0.7987,,,15,0.9115,0.923,0.8797,4.84,2.42,2.42,1.0,1.0,1.0,0,100.0,0.0,117.351,120.686
SYNTH_KB01_V1_3432_FWD,VALID,,V1,Fixed Geometric,GPS_TO_VPS,KB01,B9-104,273.604,2026-09-20T00:00:00.0000000Z,,1.0,destination_reached,270,33,0,0,0,0,0,1.0,3.348,,1.0,False,0,0,0,0,0,0,0,0,0,,0,0,1,0,True,1,1,0,0,1,3.048,3.048,0.0,3.048,3.048,3.048,success,15.54,,0.8617,,,0.0,0.0,reconstructed from campus_x/campus_y at +/-2.0s window,0.0,Logger's own position_jump_m/heading_jump_deg column is treated as UNRELIABLE (observed constant 0 in sample data / internal settle-loop delta) and is NOT used as the primary result; see position_jump_m_reconstructed instead.,250,5.0926,5.0495,0.2853,4.579,6.33,0.7999,0.7979,,,13,0.9119,0.9171,0.8887,7.04,5.93,5.93,1.0,1.0,1.0,0,100.0,0.0,254.0,257.348
SYNTH_KB01_V2_6790_FWD,VALID,,V2,Reliable Handover,GPS_TO_VPS,KB01,B9-103,118.023,2026-09-20T00:00:00.0000000Z,,1.0,destination_reached,117,20,1,1,1,1,0,1.0,3.441,,1.0,False,0,0,0,0,0,0,0,0,0,,0,0,1,0,True,1,1,0,0,1,3.042,3.042,0.0,3.042,3.042,3.042,success,14.595,,0.8519,,,0.0,0.0,reconstructed from campus_x/campus_y at +/-2.0s window,0.0,Logger's own position_jump_m/heading_jump_deg column is treated as UNRELIABLE (observed constant 0 in sample data / internal settle-loop delta) and is NOT used as the primary result; see position_jump_m_reconstructed instead.,110,5.2376,5.149,0.3796,4.299,6.5,0.7998,0.7972,,,12,0.8866,0.8835,0.8852,5.13,2.56,2.56,1.0,1.0,1.0,0,100.0,0.0,111.54,114.981
SYNTH_KB01_V4_2725_FWD,VALID,,V4,No Map-ID Check,GPS_TO_VPS,KB01,B9-104,130.669,2026-09-20T00:00:00.0000000Z,,1.0,destination_reached,131,23,1,1,0,1,0,1.0,3.415,,1.0,False,0,0,0,0,0,0,0,0,0,,0,0,1,0,True,1,1,0,0,1,3.006,3.006,0.0,3.006,3.006,3.006,success,8.425,,0.8825,,,0.0,0.0,reconstructed from campus_x/campus_y at +/-2.0s window,0.0,Logger's own position_jump_m/heading_jump_deg column is treated as UNRELIABLE (observed constant 0 in sample data / internal settle-loop delta) and is NOT used as the primary result; see position_jump_m_reconstructed instead.,99,5.2657,5.225,0.3538,4.597,6.633,0.8064,0.8036,,,6,0.8833,0.8954,0.8788,23.66,21.37,21.37,1.0,1.0,1.0,0,100.0,0.0,99.198,102.613
SYNTH_KB07_BT_7937_FWD,VALID,,BT,Quality + Dwell Baseline,GPS_TO_VPS,KB07,B9-104,149.205,2026-09-20T00:00:00.0000000Z,,1.0,destination_reached,146,32,1,1,0,0,0,1.0,9.135,,1.0,False,0,0,0,0,0,0,0,0,0,,0,0,1,0,True,1,1,0,0,1,1.015,1.015,0.0,1.015,1.015,1.015,success,17.255,,0.8878,,,0.136,3.755,reconstructed from campus_x/campus_y at +/-2.0s window,0.0,Logger's own position_jump_m/heading_jump_deg column is treated as UNRELIABLE (observed constant 0 in sample data / internal settle-loop delta) and is NOT used as the primary result; see position_jump_m_reconstructed instead.,110,5.2041,5.117,0.3725,4.3,6.47,0.7985,0.7964,,,9,0.8932,0.8857,0.881,23.97,19.18,19.18,1.0,1.0,1.0,0,100.0,0.0,111.65,120.785
SYNTH_KB07_V3_3028_FWD,VALID,,V3,No Dwell Time,GPS_TO_VPS,KB07,B9-104,130.806,2026-09-20T00:00:00.0000000Z,,1.0,destination_reached,128,26,1,0,1,1,0,1.0,9.126,,1.0,False,0,0,0,0,0,0,0,0,0,,0,0,1,0,True,1,1,0,0,1,1.014,1.014,0.0,1.014,1.014,1.014,success,10.14,,0.9152,,,0.629,148.993,reconstructed from campus_x/campus_y at +/-2.0s window,0.0,Logger's own position_jump_m/heading_jump_deg column is treated as UNRELIABLE (observed constant 0 in sample data / internal settle-loop delta) and is NOT used as the primary result; see position_jump_m_reconstructed instead.,113,5.1981,5.19,0.2713,4.458,6.27,0.8064,0.8053,,,2,0.8937,0.8937,0.8796,10.94,5.47,5.47,1.0,1.0,1.0,0,100.0,0.0,114.582,123.708
SYNTH_KB07_V2_1612_FWD,VALID,,V2,Reliable Handover,GPS_TO_VPS,KB07,B9-103,123.708,2026-09-20T00:00:00.0000000Z,,1.0,destination_reached,121,28,1,1,1,1,0,1.0,9.126,,1.0,False,0,0,0,0,0,0,0,0,0,,0,0,1,0,True,1,1,0,0,1,1.014,1.014,0.0,1.014,1.014,1.014,success,20.28,,0.8856,,,0.2221,0.55,reconstructed from campus_x/campus_y at +/-2.0s window,0.0,Logger's own position_jump_m/heading_jump_deg column is treated as UNRELIABLE (observed constant 0 in sample data / internal settle-loop delta) and is NOT used as the primary result; see position_jump_m_reconstructed instead.,110,5.2484,5.177,0.3651,4.735,6.366,0.799,0.7954,,,12,0.9165,0.9152,0.887,8.26,2.48,2.48,1.0,1.0,1.0,0,100.0,0.0,111.54,120.666
SYNTH_KB07_V4_1350_FWD,VALID,,V4,No Map-ID Check,GPS_TO_VPS,KB07,B9-104,136.272,2026-09-20T00:00:00.0000000Z,,1.0,destination_reached,135,31,1,1,0,1,0,1.0,9.018,,1.0,False,0,0,0,0,0,0,0,0,0,,0,0,1,0,True,1,1,0,0,1,1.002,1.002,0.0,1.002,1.002,1.002,success,14.028,,0.8794,,,0.0,0.0,reconstructed from campus_x/campus_y at +/-2.0s window,0.0,Logger's own position_jump_m/heading_jump_deg column is treated as UNRELIABLE (observed constant 0 in sample data / internal settle-loop delta) and is NOT used as the primary result; see position_jump_m_reconstructed instead.,99,5.3329,5.293,0.3738,4.672,6.868,0.797,0.7925,,,6,0.8826,0.8676,0.8762,25.93,20.74,20.74,1.0,1.0,1.0,0,100.0,0.0,99.198,108.216
SYNTH_KB07_BQ_8168_FWD,VALID,,BQ,Quality-Threshold Baseline,GPS_TO_VPS,KB07,B9-104,129.387,2026-09-20T00:00:00.0000000Z,,1.0,destination_reached,128,29,1,0,0,0,0,1.0,9.027,,1.0,False,0,0,0,0,0,0,0,0,0,,0,0,1,0,True,1,1,0,0,1,1.003,1.003,0.0,1.003,1.003,1.003,success,23.069,,0.8839,,,0.0,0.0,reconstructed from campus_x/campus_y at +/-2.0s window,0.0,Logger's own position_jump_m/heading_jump_deg column is treated as UNRELIABLE (observed constant 0 in sample data / internal settle-loop delta) and is NOT used as the primary result; see position_jump_m_reconstructed instead.,117,5.212,5.137,0.3737,4.452,6.334,0.8011,0.8001,,,15,0.8904,0.8839,0.8806,7.81,2.34,2.34,1.0,1.0,1.0,0,100.0,0.0,117.351,126.378
SYNTH_KB07_V5_3045_FWD,VALID,,V5,Full HARMONY,GPS_TO_VPS,KB07,B9-104,55.165,2026-09-20T00:00:00.0000000Z,,1.0,destination_reached,54,21,1,1,1,1,1,1.0,9.027,,1.0,False,0,0,0,0,0,0,0,0,0,,0,0,1,0,True,1,1,0,0,1,1.003,1.003,0.0,1.003,1.003,1.003,success,15.045,,0.8639,,,11.2413,1.438,reconstructed from campus_x/campus_y at +/-2.0s window,0.0,Logger's own position_jump_m/heading_jump_deg column is treated as UNRELIABLE (observed constant 0 in sample data / internal settle-loop delta) and is NOT used as the primary result; see position_jump_m_reconstructed instead.,40,5.2071,5.124,0.4023,4.577,6.122,0.7991,0.794,,,7,0.9014,0.8946,0.8798,24.07,11.11,11.11,1.0,1.0,1.0,0,100.0,0.0,40.12,49.147
SYNTH_KB07_V1_3545_FWD,VALID,,V1,Fixed Geometric,GPS_TO_VPS,KB07,B9-104,279.4,2026-09-20T00:00:00.0000000Z,,1.0,destination_reached,274,41,0,0,0,0,0,1.0,9.144,,1.0,False,0,0,0,0,0,0,0,0,0,,0,0,1,0,True,1,1,0,0,1,1.016,1.016,0.0,1.016,1.016,1.016,success,21.336,,0.9046,,,0.3211,31.877,reconstructed from campus_x/campus_y at +/-2.0s window,0.0,Logger's own position_jump_m/heading_jump_deg column is treated as UNRELIABLE (observed constant 0 in sample data / internal settle-loop delta) and is NOT used as the primary result; see position_jump_m_reconstructed instead.,250,5.1167,5.088,0.3328,4.333,6.483,0.7972,0.7978,,,13,0.894,0.8955,0.8781,8.39,5.84,5.84,1.0,1.0,1.0,0,100.0,0.0,254.0,263.144
SYNTH_KB28_BQ_3258_FWD,VALID_WITH_WARNINGS,"[TRIAL_NOT_COMPLETED] summary.completed=0, end_reason=navigation_cancelled.",BQ,Quality-Threshold Baseline,GPS_TO_VPS,KB28,,123.731,2026-09-20T00:00:00.0000000Z,,0.0,navigation_cancelled,122,18,1,0,0,0,0,,,VPS attempt started but neither succeeded nor timed out before the trial log ends (trial likely truncated/aborted).,0.0,,0,0,0,0,0,0,0,0,0,,0,0,1,0,True,1,0,0,1,0,,,,,,,unresolved,15.045,,,,,,,NOT_EVALUABLE_FROM_CURRENT_LOG: no evaluable handover acceptance moment.,0.0,Logger's own position_jump_m/heading_jump_deg column is treated as UNRELIABLE (observed constant 0 in sample data / internal settle-loop delta) and is NOT used as the primary result; see position_jump_m_reconstructed instead.,121,5.252,5.132,0.414,4.597,6.508,0.7988,0.8001,,,15,0.9021,0.9048,,0.0,0.0,0.0,1.0,0.0,0.0,0,,,117.351,
SYNTH_KB28_V1_9871_FWD,VALID_WITH_WARNINGS,"[TRIAL_NOT_COMPLETED] summary.completed=0, end_reason=navigation_cancelled.",V1,Fixed Geometric,GPS_TO_VPS,KB28,,260.395,2026-09-20T00:00:00.0000000Z,,0.0,navigation_cancelled,255,27,0,0,0,0,0,,,VPS attempt started but neither succeeded nor timed out before the trial log ends (trial likely truncated/aborted).,0.0,,0,0,0,0,0,0,0,0,0,,0,0,1,0,True,1,0,0,1,0,,,,,,,unresolved,13.208,,,,,,,NOT_EVALUABLE_FROM_CURRENT_LOG: no evaluable handover acceptance moment.,0.0,Logger's own position_jump_m/heading_jump_deg column is treated as UNRELIABLE (observed constant 0 in sample data / internal settle-loop delta) and is NOT used as the primary result; see position_jump_m_reconstructed instead.,254,5.1094,5.069,0.2932,4.529,6.476,0.8015,0.8013,,,13,0.8831,0.8873,,0.0,0.0,0.0,1.0,0.0,0.0,0,,,254.0,
SYNTH_KB28_V5_7389_FWD,VALID_WITH_WARNINGS,"[TRIAL_NOT_COMPLETED] summary.completed=0, end_reason=navigation_cancelled.",V5,Full HARMONY,GPS_TO_VPS,KB28,,46.276,2026-09-20T00:00:00.0000000Z,,0.0,navigation_cancelled,45,9,1,1,1,1,1,,,VPS attempt started but neither succeeded nor timed out before the trial log ends (trial likely truncated/aborted).,0.0,,0,0,0,0,0,0,0,0,0,,0,0,1,0,True,1,0,0,1,0,,,,,,,unresolved,7.021,,,,,,,NOT_EVALUABLE_FROM_CURRENT_LOG: no evaluable handover acceptance moment.,0.0,Logger's own position_jump_m/heading_jump_deg column is treated as UNRELIABLE (observed constant 0 in sample data / internal settle-loop delta) and is NOT used as the primary result; see position_jump_m_reconstructed instead.,44,5.266,5.1965,0.445,4.596,6.555,0.7875,0.7997,,,7,0.8888,0.8773,,0.0,0.0,0.0,1.0,0.0,0.0,0,,,40.12,
SYNTH_KB28_V3_6467_FWD,VALID_WITH_WARNINGS,"[TRIAL_NOT_COMPLETED] summary.completed=0, end_reason=navigation_cancelled.",V3,No Dwell Time,GPS_TO_VPS,KB28,,121.386,2026-09-20T00:00:00.0000000Z,,0.0,navigation_cancelled,118,14,1,0,1,1,0,,,VPS attempt started but neither succeeded nor timed out before the trial log ends (trial likely truncated/aborted).,0.0,,0,0,0,0,0,0,0,0,0,,0,0,1,0,True,1,0,0,1,0,,,,,,,unresolved,2.028,,,,,,,NOT_EVALUABLE_FROM_CURRENT_LOG: no evaluable handover acceptance moment.,0.0,Logger's own position_jump_m/heading_jump_deg column is treated as UNRELIABLE (observed constant 0 in sample data / internal settle-loop delta) and is NOT used as the primary result; see position_jump_m_reconstructed instead.,117,5.1808,5.144,0.2624,4.45,5.943,0.7946,0.7996,,,2,0.8902,0.8902,,0.0,0.0,0.0,1.0,0.0,0.0,0,,,114.582,
SYNTH_KB28_BT_8681_FWD,VALID_WITH_WARNINGS,"[TRIAL_NOT_COMPLETED] summary.completed=0, end_reason=navigation_cancelled.",BT,Quality + Dwell Baseline,GPS_TO_VPS,KB28,,119.653,2026-09-20T00:00:00.0000000Z,,0.0,navigation_cancelled,115,16,1,1,0,0,0,,,VPS attempt started but neither succeeded nor timed out before the trial log ends (trial likely truncated/aborted).,0.0,,0,0,0,0,0,0,0,0,0,,0,0,1,0,True,1,0,0,1,0,,,,,,,unresolved,9.135,,,,,,,NOT_EVALUABLE_FROM_CURRENT_LOG: no evaluable handover acceptance moment.,0.0,Logger's own position_jump_m/heading_jump_deg column is treated as UNRELIABLE (observed constant 0 in sample data / internal settle-loop delta) and is NOT used as the primary result; see position_jump_m_reconstructed instead.,114,5.2065,5.1715,0.3399,4.647,6.327,0.795,0.7996,,,9,0.9091,0.9094,,0.0,0.0,0.0,1.0,0.0,0.0,0,,,111.65,
SYNTH_KB28_V4_6180_FWD,VALID_WITH_WARNINGS,"[TRIAL_NOT_COMPLETED] summary.completed=0, end_reason=navigation_cancelled.",V4,No Map-ID Check,GPS_TO_VPS,KB28,,106.816,2026-09-20T00:00:00.0000000Z,,0.0,navigation_cancelled,104,15,1,1,0,1,0,,,VPS attempt started but neither succeeded nor timed out before the trial log ends (trial likely truncated/aborted).,0.0,,0,0,0,0,0,0,0,0,0,,0,0,1,0,True,1,0,0,1,0,,,,,,,unresolved,6.012,,,,,,,NOT_EVALUABLE_FROM_CURRENT_LOG: no evaluable handover acceptance moment.,0.0,Logger's own position_jump_m/heading_jump_deg column is treated as UNRELIABLE (observed constant 0 in sample data / internal settle-loop delta) and is NOT used as the primary result; see position_jump_m_reconstructed instead.,103,5.2904,5.245,0.3572,4.55,6.661,0.7928,0.8004,,,6,0.9139,0.913,,0.0,0.0,0.0,1.0,0.0,0.0,0,,,99.198,
SYNTH_KB28_V2_7947_FWD,VALID_WITH_WARNINGS,"[TRIAL_NOT_COMPLETED] summary.completed=0, end_reason=navigation_cancelled.",V2,Reliable Handover,GPS_TO_VPS,KB28,,118.814,2026-09-20T00:00:00.0000000Z,,0.0,navigation_cancelled,115,17,1,1,1,1,0,,,VPS attempt started but neither succeeded nor timed out before the trial log ends (trial likely truncated/aborted).,0.0,,0,0,0,0,0,0,0,0,0,,0,0,1,0,True,1,0,0,1,0,,,,,,,unresolved,12.168,,,,,,,NOT_EVALUABLE_FROM_CURRENT_LOG: no evaluable handover acceptance moment.,0.0,Logger's own position_jump_m/heading_jump_deg column is treated as UNRELIABLE (observed constant 0 in sample data / internal settle-loop delta) and is NOT used as the primary result; see position_jump_m_reconstructed instead.,114,5.2174,5.1325,0.3722,4.577,6.644,0.7968,0.7981,,,12,0.8756,0.8844,,0.0,0.0,0.0,1.0,0.0,0.0,0,,,111.54,
SYNTH_KB08_V3_8524_FWD,VALID,,V3,No Dwell Time,GPS_TO_VPS,KB08,B9-104,125.022,2026-09-20T00:00:00.0000000Z,,1.0,destination_reached,124,18,1,0,1,1,0,1.0,3.342,,1.0,False,0,0,0,0,0,0,0,0,0,,0,0,1,0,True,1,1,0,0,1,3.042,3.042,0.0,3.042,3.042,3.042,success,4.356,,0.8446,,,24.9319,67.291,reconstructed from campus_x/campus_y at +/-2.0s window,0.0,Logger's own position_jump_m/heading_jump_deg column is treated as UNRELIABLE (observed constant 0 in sample data / internal settle-loop delta) and is NOT used as the primary result; see position_jump_m_reconstructed instead.,113,5.1641,5.194,0.2739,4.434,6.248,0.7979,0.7986,,,2,0.9024,0.9024,0.8715,8.06,5.65,5.65,1.0,1.0,1.0,0,100.0,0.0,114.582,117.924
SYNTH_KB08_V4_3753_FWD,VALID,,V4,No Map-ID Check,GPS_TO_VPS,KB08,B9-104,130.669,2026-09-20T00:00:00.0000000Z,,1.0,destination_reached,131,23,1,1,0,1,0,1.0,3.415,,1.0,False,0,0,0,0,0,0,0,0,0,,0,0,1,0,True,1,1,0,0,1,3.006,3.006,0.0,3.006,3.006,3.006,success,8.425,,0.8295,,,1.565,10.127,reconstructed from campus_x/campus_y at +/-2.0s window,0.0,Logger's own position_jump_m/heading_jump_deg column is treated as UNRELIABLE (observed constant 0 in sample data / internal settle-loop delta) and is NOT used as the primary result; see position_jump_m_reconstructed instead.,99,5.2832,5.216,0.3671,4.446,6.626,0.8007,0.8037,,,6,0.8918,0.895,0.8836,23.66,21.37,21.37,1.0,1.0,1.0,0,100.0,0.0,99.198,102.613
SYNTH_KB08_V5_6545_FWD,VALID,,V5,Full HARMONY,GPS_TO_VPS,KB08,B9-104,49.563,2026-09-20T00:00:00.0000000Z,,1.0,destination_reached,50,13,1,1,1,1,1,1.0,3.425,,1.0,False,0,0,0,0,0,0,0,0,0,,0,0,1,0,True,1,1,0,0,1,3.009,3.009,0.0,3.009,3.009,3.009,success,9.443,,0.8662,,,31.7989,146.468,reconstructed from campus_x/campus_y at +/-2.0s window,0.0,Logger's own position_jump_m/heading_jump_deg column is treated as UNRELIABLE (observed constant 0 in sample data / internal settle-loop delta) and is NOT used as the primary result; see position_jump_m_reconstructed instead.,40,5.2513,5.1375,0.4353,4.625,6.301,0.7983,0.7989,,,7,0.8838,0.9132,0.8777,18.0,12.0,12.0,1.0,1.0,1.0,0,100.0,0.0,40.12,43.545
SYNTH_KB08_V1_7591_FWD,VALID,,V1,Fixed Geometric,GPS_TO_VPS,KB08,B9-104,273.604,2026-09-20T00:00:00.0000000Z,,1.0,destination_reached,270,33,0,0,0,0,0,1.0,3.348,,1.0,False,0,0,0,0,0,0,0,0,0,,0,0,1,0,True,1,1,0,0,1,3.048,3.048,0.0,3.048,3.048,3.048,success,15.54,,0.8352,,,2.7692,67.633,reconstructed from campus_x/campus_y at +/-2.0s window,0.0,Logger's own position_jump_m/heading_jump_deg column is treated as UNRELIABLE (observed constant 0 in sample data / internal settle-loop delta) and is NOT used as the primary result; see position_jump_m_reconstructed instead.,250,5.0995,5.0675,0.2979,4.498,6.208,0.7984,0.7972,,,13,0.9,0.9046,0.8924,7.04,5.93,5.93,1.0,1.0,1.0,0,100.0,0.0,254.0,257.348
SYNTH_KB08_V2_4393_FWD,VALID,,V2,Reliable Handover,GPS_TO_VPS,KB08,B9-103,118.023,2026-09-20T00:00:00.0000000Z,,1.0,destination_reached,117,20,1,1,1,1,0,1.0,3.441,,1.0,False,0,0,0,0,0,0,0,0,0,,0,0,1,0,True,1,1,0,0,1,3.042,3.042,0.0,3.042,3.042,3.042,success,14.595,,0.852,,,3.5765,31.372,reconstructed from campus_x/campus_y at +/-2.0s window,0.0,Logger's own position_jump_m/heading_jump_deg column is treated as UNRELIABLE (observed constant 0 in sample data / internal settle-loop delta) and is NOT used as the primary result; see position_jump_m_reconstructed instead.,110,5.2514,5.198,0.3715,4.575,6.376,0.7998,0.7985,,,12,0.8931,0.8903,0.8733,5.13,2.56,2.56,1.0,1.0,1.0,0,100.0,0.0,111.54,114.981
SYNTH_KB08_BT_1159_FWD,VALID,,BT,Quality + Dwell Baseline,GPS_TO_VPS,KB08,B9-104,143.487,2026-09-20T00:00:00.0000000Z,,1.0,destination_reached,142,24,1,1,0,0,0,1.0,3.417,,1.0,False,0,0,0,0,0,0,0,0,0,,0,0,1,0,True,1,1,0,0,1,3.045,3.045,0.0,3.045,3.045,3.045,success,11.537,,0.8454,,,0.539,28.24,reconstructed from campus_x/campus_y at +/-2.0s window,0.0,Logger's own position_jump_m/heading_jump_deg column is treated as UNRELIABLE (observed constant 0 in sample data / internal settle-loop delta) and is NOT used as the primary result; see position_jump_m_reconstructed instead.,110,5.1886,5.117,0.4488,4.562,6.973,0.7975,0.7993,,,9,0.9118,0.9257,0.8826,21.83,19.72,19.72,1.0,1.0,1.0,0,100.0,0.0,111.65,115.067
SYNTH_KB08_BQ_3771_FWD,VALID,,BQ,Quality-Threshold Baseline,GPS_TO_VPS,KB08,B9-104,123.695,2026-09-20T00:00:00.0000000Z,,1.0,destination_reached,124,21,1,0,0,0,0,1.0,3.335,,1.0,False,0,0,0,0,0,0,0,0,0,,0,0,1,0,True,1,1,0,0,1,3.009,3.009,0.0,3.009,3.009,3.009,success,17.377,,0.8391,,,3.694,113.851,reconstructed from campus_x/campus_y at +/-2.0s window,0.0,Logger's own position_jump_m/heading_jump_deg column is treated as UNRELIABLE (observed constant 0 in sample data / internal settle-loop delta) and is NOT used as the primary result; see position_jump_m_reconstructed instead.,117,5.2061,5.137,0.3927,4.6,6.408,0.8002,0.7983,,,15,0.8892,0.8852,0.8636,4.84,2.42,2.42,1.0,1.0,1.0,0,100.0,0.0,117.351,120.686
SYNTH_KB21_V2_3348_FWD,VALID,,V2,Reliable Handover,GPS_TO_VPS,KB21,B9-103,116.399,2026-09-20T00:00:00.0000000Z,,1.0,destination_reached,117,20,1,1,1,1,0,1.0,3.399,,1.0,False,0,0,0,0,0,0,0,0,0,,0,0,1,0,True,1,1,0,0,1,3.0,3.0,0.0,3.0,3.0,3.0,success,14.399,,0.8143,,,0.0,0.0,reconstructed from campus_x/campus_y at +/-2.0s window,0.0,Logger's own position_jump_m/heading_jump_deg column is treated as UNRELIABLE (observed constant 0 in sample data / internal settle-loop delta) and is NOT used as the primary result; see position_jump_m_reconstructed instead.,110,5.2636,5.191,0.3722,4.587,6.342,0.7971,0.797,,,12,0.9046,0.9051,0.8923,5.13,2.56,2.56,1.0,1.0,1.0,0,100.0,0.0,110.0,113.399
SYNTH_KB21_BQ_2228_FWD,VALID,,BQ,Quality-Threshold Baseline,GPS_TO_VPS,KB21,B9-104,123.326,2026-09-20T00:00:00.0000000Z,,1.0,destination_reached,124,21,1,0,0,0,0,1.0,3.326,,1.0,False,0,0,0,0,0,0,0,0,0,,0,0,1,0,True,1,1,0,0,1,3.0,3.0,0.0,3.0,3.0,3.0,success,17.326,,0.8462,,,0.0,0.0,reconstructed from campus_x/campus_y at +/-2.0s window,0.0,Logger's own position_jump_m/heading_jump_deg column is treated as UNRELIABLE (observed constant 0 in sample data / internal settle-loop delta) and is NOT used as the primary result; see position_jump_m_reconstructed instead.,117,5.2558,5.15,0.4463,4.513,6.705,0.801,0.8014,,,15,0.8955,0.9021,0.8815,4.84,2.42,2.42,1.0,1.0,1.0,0,100.0,0.0,117.0,120.326
